,strain,replicate,techRep,bioRep,drug,time,person,OD_24h,OD_48h,OD_72h,OD_72h_Mixed
A18115M,A18,11,B,one,0,5,M,1.4252,1.4459,1.4506,1.1618
A18125M,A18,12,B,one,0,5,M,1.4218,1.4479,1.4518,1.1682
A1815M,A18,1,A,one,0.5,5,M,0.2503,0.3284,0.4358,0.6288
A1825M,A18,2,A,one,0.5,5,M,0.2333,0.2885,0.4101,0.559
A1835M,A18,3,A,one,0.5,5,M,0.2095,0.2599,0.3218,0.5891
A1845M,A18,4,A,one,0.5,5,M,0.3422,0.4541,0.5549,0.6089
A1855M,A18,5,A,one,0.5,5,M,0.3597,0.4409,0.5084,0.5304
A1865M,A18,6,A,one,0.5,5,M,0.3093,0.3454,0.4209,0.6468
A1875M,A18,7,A,one,0.5,5,M,0.3824,0.4674,0.5689,0.7379
A1895M,A18,9,A,one,0.5,5,M,0.4018,0.496,0.5803,0.757
A18105M,A18,10,A,one,0.5,5,M,0.3596,0.4571,0.5493,0.7066
A18115M,A18,11,A,one,0.5,5,M,0.2468,0.295,0.3488,0.4411
A18125M,A18,12,A,one,0.5,5,M,0.2572,0.3314,0.3937,0.4981
A1815M,A18,1,B,one,0.5,5,M,0.2342,0.2901,0.4025,0.6946
A1825M,A18,2,B,one,0.5,5,M,0.198,0.2348,0.3199,0.7022
A1835M,A18,3,B,one,0.5,5,M,0.1838,0.2156,0.2973,0.7371
A1845M,A18,4,B,one,0.5,5,M,0.266,0.3414,0.446,0.5949
A1855M,A18,5,B,one,0.5,5,M,0.284,0.3264,0.4018,0.7075
A1865M,A18,6,B,one,0.5,5,M,0.264,0.2855,0.3874,0.7439
A1875M,A18,7,B,one,0.5,5,M,0.3271,0.3923,0.5102,0.8451
A1895M,A18,9,B,one,0.5,5,M,0.3611,0.4324,0.5221,0.7719
A18105M,A18,10,B,one,0.5,5,M,0.3223,0.3957,0.4805,0.7343
A18115M,A18,11,B,one,0.5,5,M,0.2142,0.2532,0.3587,0.7521
A18125M,A18,12,B,one,0.5,5,M,0.2367,0.2963,0.3563,0.6712
A1815M,A18,1,C,one,0.5,5,M,0.2241,0.3101,0.3955,0.5511
A1825M,A18,2,C,one,0.5,5,M,0.2071,0.2661,0.3478,0.5928
A1835M,A18,3,C,one,0.5,5,M,0.2033,0.2491,0.3226,0.5928
A1845M,A18,4,C,one,0.5,5,M,0.3191,0.4383,0.5581,0.5568
A1855M,A18,5,C,one,0.5,5,M,0.3401,0.4326,0.4979,0.6205
A1865M,A18,6,C,one,0.5,5,M,0.2943,0.3395,0.4201,0.6855
A1875M,A18,7,C,one,0.5,5,M,0.3563,0.4438,0.5249,0.7511
A1895M,A18,9,C,one,0.5,5,M,0.3951,0.5055,0.5939,0.743
A18105M,A18,10,C,one,0.5,5,M,0.3389,0.4428,0.5251,0.7052
A18115M,A18,11,C,one,0.5,5,M,0.2147,0.2844,0.357,0.6924
A18125M,A18,12,C,one,0.5,5,M,0.2585,0.3499,0.4091,0.513
A0310M,A03,1,1,two,0,0,M,1.593,1.6465,1.6408,1.3489
A0320M,A03,2,1,two,0,0,M,1.5736,1.6246,1.6315,1.3531
A0330M,A03,3,1,two,0,0,M,1.5869,1.627,1.643,1.3401
A0340M,A03,4,1,two,0,0,M,1.5845,1.6277,1.6477,1.3614
A0350M,A03,5,1,two,0,0,M,1.5937,1.6357,1.6521,1.3531
A0360M,A03,6,1,two,0,0,M,1.5834,1.629,1.6479,1.3552
A0370M,A03,7,1,two,0,0,M,1.5724,1.6273,1.6437,1.3584
A0380M,A03,8,1,two,0,0,M,1.5553,1.6219,1.6432,1.3451
A0390M,A03,9,1,two,0,0,M,1.5781,1.6301,1.6445,1.3373
A03100M,A03,10,1,two,0,0,M,1.5597,1.6341,1.6536,1.3349
A03110M,A03,11,1,two,0,0,M,1.6031,1.6487,1.6626,1.3308
A03120M,A03,12,1,two,0,0,M,1.5618,1.6326,1.6529,1.3295
A0310Q,A03,1,1,two,0,0,Q,1.5608,1.6165,1.6311,1.3084
A0320Q,A03,2,1,two,0,0,Q,1.5479,1.6155,1.6245,1.3036
A0330Q,A03,3,1,two,0,0,Q,1.5481,1.5999,1.6073,1.3137
A0340Q,A03,4,1,two,0,0,Q,1.5379,1.5976,1.6071,1.3162
A0350Q,A03,5,1,two,0,0,Q,1.5275,1.6042,1.6158,1.3211
A0360Q,A03,6,1,two,0,0,Q,1.5408,1.6092,1.6253,1.3302
A0370Q,A03,7,1,two,0,0,Q,1.5228,1.6016,1.6192,1.3216
A0380Q,A03,8,1,two,0,0,Q,1.5324,1.6044,1.615,1.3105
A0390Q,A03,9,1,two,0,0,Q,1.5266,1.6072,1.6187,1.3131
A03100Q,A03,10,1,two,0,0,Q,1.5275,1.6184,1.6302,1.3071
A03110Q,A03,11,1,two,0,0,Q,1.5429,1.6244,1.642,1.3119
A03120Q,A03,12,1,two,0,0,Q,1.5326,1.6177,1.6367,1.3147
A0410M,A04,1,1,two,0,0,M,1.5747,1.6313,1.6419,1.3143
A0420M,A04,2,1,two,0,0,M,1.5567,1.6453,1.6504,1.3224
A0430M,A04,3,1,two,0,0,M,1.5682,1.6361,1.6487,1.3514
A0440M,A04,4,1,two,0,0,M,1.5209,1.6261,1.6399,1.3442
A0450M,A04,5,1,two,0,0,M,1.5802,1.6539,1.6599,1.3756
A0460M,A04,6,1,two,0,0,M,1.5924,1.6818,1.6854,1.5321
A0470M,A04,7,1,two,0,0,M,1.5857,1.6355,1.6344,1.4148
A0480M,A04,8,1,two,0,0,M,1.5534,1.6417,1.6498,1.3901
A0490M,A04,9,1,two,0,0,M,1.5333,1.6386,1.6543,1.3782
A04100M,A04,10,1,two,0,0,M,1.5552,1.6439,1.6533,1.3861
A04110M,A04,11,1,two,0,0,M,1.5568,1.6461,1.6521,1.3232
A04120M,A04,12,1,two,0,0,M,1.4795,1.6106,1.6332,1.3107
A0810M,A08,1,1,two,0,0,M,1.6192,1.6559,1.6511,1.2704
A0820M,A08,2,1,two,0,0,M,1.59,1.6517,1.6412,1.266
A0830M,A08,3,1,two,0,0,M,1.5265,1.6239,1.6206,1.2804
A0840M,A08,4,1,two,0,0,M,1.5369,1.6285,1.6144,1.299
A0850M,A08,5,1,two,0,0,M,1.5036,1.615,1.5886,1.2581
A0860M,A08,6,1,two,0,0,M,1.6235,1.663,1.6499,1.3163
A0870M,A08,7,1,two,0,0,M,1.5379,1.6228,1.6134,1.2823
A0880M,A08,8,1,two,0,0,M,1.5664,1.6427,1.6357,1.2987
A0890M,A08,9,1,two,0,0,M,1.5515,1.6406,1.6389,1.2834
A08100M,A08,10,1,two,0,0,M,1.5813,1.6462,1.6462,1.2864
A08110M,A08,11,1,two,0,0,M,1.6241,1.664,1.6622,1.3123
A08120M,A08,12,1,two,0,0,M,1.5486,1.6322,1.64,1.2565
A0310M,A03,1,2,two,0,0,M,1.5657,1.6355,1.6317,1.3062
A0320M,A03,2,2,two,0,0,M,1.5045,1.6098,1.6011,1.3041
A0330M,A03,3,2,two,0,0,M,1.4326,1.5885,1.5867,1.3095
A0340M,A03,4,2,two,0,0,M,1.4091,1.5742,1.5736,1.3237
A0350M,A03,5,2,two,0,0,M,1.4924,1.6142,1.6003,1.3178
A0360M,A03,6,2,two,0,0,M,1.54,1.6225,1.6137,1.3265
A0370M,A03,7,2,two,0,0,M,1.4878,1.6179,1.6163,1.3361
A0380M,A03,8,2,two,0,0,M,1.4484,1.6054,1.598,1.3191
A0390M,A03,9,2,two,0,0,M,1.5284,1.6253,1.6239,1.3091
A03100M,A03,10,2,two,0,0,M,1.5405,1.6325,1.6376,1.3036
A03110M,A03,11,2,two,0,0,M,1.5379,1.629,1.6388,1.2886
A03120M,A03,12,2,two,0,0,M,1.5292,1.6248,1.6397,1.2932
A0310Q,A03,1,2,two,0,0,Q,1.5402,1.601,1.6029,1.3302
A0320Q,A03,2,2,two,0,0,Q,1.4886,1.5902,1.582,1.3305
A0330Q,A03,3,2,two,0,0,Q,1.4392,1.5755,1.5671,1.3266
A0340Q,A03,4,2,two,0,0,Q,1.417,1.5653,1.5466,1.3237
A0350Q,A03,5,2,two,0,0,Q,1.4578,1.5833,1.5739,1.3584
A0360Q,A03,6,2,two,0,0,Q,1.4753,1.5891,1.5732,1.3508
A0370Q,A03,7,2,two,0,0,Q,1.4605,1.591,1.5811,1.3388
A0380Q,A03,8,2,two,0,0,Q,1.4681,1.5913,1.5876,1.3078
A0390Q,A03,9,2,two,0,0,Q,1.5039,1.6031,1.6066,1.3292
A03100Q,A03,10,2,two,0,0,Q,1.4936,1.604,1.6041,1.3193
A03110Q,A03,11,2,two,0,0,Q,1.518,1.6096,1.6218,1.3309
A03120Q,A03,12,2,two,0,0,Q,1.5234,1.6098,1.6266,1.308
A0410M,A04,1,2,two,0,0,M,1.4962,1.5636,1.5824,1.3263
A0420M,A04,2,2,two,0,0,M,1.5029,1.5941,1.6038,1.3281
A0430M,A04,3,2,two,0,0,M,1.541,1.6167,1.6183,1.3487
A0440M,A04,4,2,two,0,0,M,1.5267,1.6108,1.6124,1.3544
A0450M,A04,5,2,two,0,0,M,1.5711,1.629,1.6311,1.3575
A0460M,A04,6,2,two,0,0,M,1.5462,1.6233,1.6413,1.3576
A0470M,A04,7,2,two,0,0,M,1.5847,1.6453,1.6431,1.3909
A0480M,A04,8,2,two,0,0,M,1.5686,1.6507,1.6503,1.3432
A0490M,A04,9,2,two,0,0,M,1.5835,1.6511,1.6562,1.3705
A04100M,A04,10,2,two,0,0,M,1.6064,1.6634,1.6661,1.3822
A04110M,A04,11,2,two,0,0,M,1.5532,1.6411,1.6493,1.2943
A04120M,A04,12,2,one,0,0,M,1.5139,1.6254,1.6439,1.3128
A0810M,A08,1,2,two,0,0,M,1.572,1.6014,1.6048,1.2804
A0820M,A08,2,2,two,0,0,M,1.5538,1.5834,1.5838,1.2867
A0830M,A08,3,2,two,0,0,M,1.5768,1.6005,1.6047,1.29
A0840M,A08,4,2,two,0,0,M,1.5825,1.6094,1.6031,1.2846
A0850M,A08,5,2,two,0,0,M,1.5655,1.6119,1.6104,1.2672
A0860M,A08,6,2,two,0,0,M,1.6076,1.632,1.6428,1.3167
A0870M,A08,7,2,two,0,0,M,1.5722,1.618,1.6208,1.2884
A0880M,A08,8,2,one,0,0,M,1.6114,1.6384,1.6413,1.2976
A0890M,A08,9,2,two,0,0,M,1.6013,1.6373,1.6446,1.2972
A08100M,A08,10,2,two,0,0,M,1.629,1.662,1.6639,1.34
A08110M,A08,11,2,two,0,0,M,1.6384,1.6623,1.6665,1.3062
A08120M,A08,12,2,two,0,0,M,1.582,1.6372,1.6486,1.2536
A0375M,A03,7,1,two,0,5,M,1.5045,1.4816,1.6226,1.3113
A0325Q,A03,2,1,two,0,5,Q,1.5116,1.3773,1.6371,1.4467
A0335Q,A03,3,1,two,0,5,Q,1.496,1.2614,1.6374,1.4647
A0365Q,A03,6,1,two,0,5,Q,1.415,1.3831,1.5737,1.345
A0375Q,A03,7,1,two,0,5,Q,1.497,1.3902,1.6414,1.3962
A0385Q,A03,8,1,two,0,5,Q,1.55,1.4805,1.6285,1.2831
A0395Q,A03,9,1,two,0,5,Q,1.4085,1.2456,1.6105,1.3913
A03115Q,A03,11,1,two,0,5,Q,1.5033,1.288,1.6199,1.3136
A0425M,A04,2,1,two,0,5,M,1.4465,1.2211,1.6019,1.371
A0435M,A04,3,1,one,0,5,M,1.3338,1.1689,1.6144,1.3119
A0455M,A04,5,1,one,0,5,M,1.2719,1.1497,1.593,1.2612
A0465M,A04,6,1,two,0,5,M,1.3965,1.2195,1.6215,1.3689
A0475M,A04,7,1,two,0,5,M,1.3855,1.1891,1.617,1.3788
A0485M,A04,8,1,two,0,5,M,1.4187,1.2469,1.6248,1.3811
A04105M,A04,10,1,two,0,5,M,1.4021,1.2442,1.6431,1.3612
A08105M,A08,10,1,one,0,5,M,1.4296,1.3577,1.6279,1.3548
A0375M,A03,7,2,two,0,5,M,1.4735,1.3516,1.6191,1.3
A0325Q,A03,2,2,two,0,5,Q,1.496,1.2124,1.6073,1.4272
A0335Q,A03,3,2,two,0,5,Q,1.498,1.1486,1.6153,1.4744
A0365Q,A03,6,2,two,0,5,Q,1.3907,1.2537,1.5461,1.324
A0375Q,A03,7,2,two,0,5,Q,1.4844,1.2964,1.6195,1.3958
A0385Q,A03,8,2,two,0,5,Q,1.5688,1.4211,1.6281,1.2802
A0395Q,A03,9,2,two,0,5,Q,1.4043,1.1578,1.5931,1.3881
A03115Q,A03,11,2,two,0,5,Q,1.5214,1.2683,1.6174,1.3351
A0425M,A04,2,2,two,0,5,M,1.413,1.1006,1.5619,1.339
A0435M,A04,3,2,one,0,5,M,1.3581,1.0948,1.5897,1.3115
A0455M,A04,5,2,one,0,5,M,1.3366,1.0883,1.5768,1.2419
A0465M,A04,6,2,two,0,5,M,1.4195,1.1179,1.6084,1.3739
A0475M,A04,7,2,two,0,5,M,1.3891,1.1515,1.6073,1.3763
A0485M,A04,8,2,two,0,5,M,1.436,1.1839,1.6167,1.3914
A04105M,A04,10,2,two,0,5,M,1.3736,1.1729,1.6229,1.3567
A08105M,A08,10,2,one,0,5,M,1.4725,1.3595,1.6292,1.3757
A0310M,A03,1,1,two,0.5,0,M,0.1396,0.7654,0.8279,0.3909
A0320M,A03,2,1,two,0.5,0,M,0.202,0.9346,1.0048,0.48
A0330M,A03,3,1,two,0.5,0,M,0.2128,0.9383,0.9792,0.4612
A0340M,A03,4,1,two,0.5,0,M,0.1863,0.9249,0.9896,0.4586
A0350M,A03,5,1,two,0.5,0,M,0.2166,0.9105,0.9719,0.4574
A0360M,A03,6,1,two,0.5,0,M,0.2164,0.9035,0.9632,0.4509
A0370M,A03,7,1,two,0.5,0,M,0.1783,0.8818,0.9353,0.4192
A0380M,A03,8,1,two,0.5,0,M,0.1682,0.8689,0.9357,0.4307
A0390M,A03,9,1,two,0.5,0,M,0.1893,0.923,0.9777,0.4617
A03100M,A03,10,1,two,0.5,0,M,0.1834,0.8424,0.8941,0.4274
A03110M,A03,11,1,two,0.5,0,M,0.1815,0.8803,0.9509,0.4655
A03120M,A03,12,1,two,0.5,0,M,0.1709,0.9128,0.9898,0.4549
A0310Q,A03,1,1,two,0.5,0,Q,0.1204,0.6353,0.7111,0.3287
A0320Q,A03,2,1,two,0.5,0,Q,0.1419,0.8101,0.893,0.3711
A0330Q,A03,3,1,two,0.5,0,Q,0.1488,0.7653,0.819,0.3606
A0340Q,A03,4,1,two,0.5,0,Q,0.114,0.6933,0.7424,0.3329
A0350Q,A03,5,1,two,0.5,0,Q,0.1302,0.8157,0.8702,0.3729
A0360Q,A03,6,1,two,0.5,0,Q,0.0908,0.6572,0.6861,0.3034
A0370Q,A03,7,1,two,0.5,0,Q,0.059,0.607,0.6346,0.3018
A0380Q,A03,8,1,two,0.5,0,Q,0.1293,0.5285,0.5158,0.3148
A0390Q,A03,9,1,two,0.5,0,Q,0.0821,0.5106,0.4637,0.3077
A03100Q,A03,10,1,two,0.5,0,Q,0.0903,0.6723,0.6857,0.3497
A03110Q,A03,11,1,two,0.5,0,Q,0.1098,0.5285,0.5051,0.31
A03120Q,A03,12,1,two,0.5,0,Q,0.1378,0.7636,0.8233,0.4039
A0410M,A04,1,1,two,0.5,0,M,0.1506,0.3749,0.4742,0.2696
A0420M,A04,2,1,two,0.5,0,M,0.1726,0.4591,0.561,0.2811
A0430M,A04,3,1,two,0.5,0,M,0.2524,0.5846,0.7419,0.3021
A0440M,A04,4,1,two,0.5,0,M,0.3018,0.6493,0.7998,0.3013
A0450M,A04,5,1,two,0.5,0,M,0.2666,0.6523,0.8244,0.3377
A0460M,A04,6,1,two,0.5,0,M,0.2158,0.5236,0.6622,0.2939
A0470M,A04,7,1,two,0.5,0,M,0.2229,0.5812,0.7216,0.2771
A0480M,A04,8,1,two,0.5,0,M,0.2964,0.678,0.8575,0.3408
A0490M,A04,9,1,two,0.5,0,M,0.2187,0.513,0.6615,0.2732
A04100M,A04,10,1,two,0.5,0,M,0.2267,0.554,0.7242,0.6019
A04110M,A04,11,1,two,0.5,0,M,0.0708,0.318,0.309,0.3083
A04120M,A04,12,1,one,0.5,0,M,0.0503,0.2865,0.2642,0.1921
A0810M,A08,1,1,two,0.5,0,M,0.2192,0.4968,0.723,0.4825
A0820M,A08,2,1,two,0.5,0,M,0.2003,0.4847,0.6854,0.4457
A0830M,A08,3,1,two,0.5,0,M,0.1788,0.4311,0.4707,0.381
A0840M,A08,4,1,two,0.5,0,M,0.2505,0.6009,0.8437,0.5022
A0850M,A08,5,1,two,0.5,0,M,0.0594,0.2499,0.1746,0.2512
A0860M,A08,6,1,two,0.5,0,M,0.2528,0.5804,0.7556,0.6091
A0870M,A08,7,1,two,0.5,0,M,0.1414,0.39,0.3861,0.3093
A0880M,A08,8,1,one,0.5,0,M,0.2738,0.6279,0.8473,0.5695
A0890M,A08,9,1,two,0.5,0,M,0.2103,0.514,0.6634,0.4236
A08100M,A08,10,1,two,0.5,0,M,0.1892,0.4735,0.5553,0.3717
A08110M,A08,11,1,two,0.5,0,M,0.2845,0.6474,0.8808,0.6132
A08120M,A08,12,1,two,0.5,0,M,0.013,0.1821,0.0815,0.2002
A0310M,A03,1,2,two,0.5,0,M,0.1477,0.8209,0.9123,0.3771
A0320M,A03,2,2,two,0.5,0,M,0.2396,0.8721,0.9943,0.4317
A0330M,A03,3,2,two,0.5,0,M,0.2404,0.9008,1.0138,0.443
A0340M,A03,4,2,two,0.5,0,M,0.208,0.8784,0.9966,0.4329
A0350M,A03,5,2,two,0.5,0,M,0.1848,0.9012,0.9996,0.4252
A0360M,A03,6,2,two,0.5,0,M,0.1575,0.8746,0.9781,0.4016
A0370M,A03,7,2,two,0.5,0,M,0.1834,0.8501,0.9636,0.3873
A0380M,A03,8,2,two,0.5,0,M,0.1767,0.7716,0.8904,0.3845
A0390M,A03,9,2,two,0.5,0,M,0.1712,0.8832,1.0084,0.4201
A03100M,A03,10,2,two,0.5,0,M,0.1637,0.8188,0.9372,0.3834
A03110M,A03,11,2,two,0.5,0,M,0.1642,0.8765,1.0021,0.3988
A03120M,A03,12,2,two,0.5,0,M,0.2119,0.8668,1.024,0.4114
A0310Q,A03,1,2,two,0.5,0,Q,0.1268,0.6437,0.7335,0.2413
A0320Q,A03,2,2,two,0.5,0,Q,0.1759,0.791,0.8758,0.3347
A0330Q,A03,3,2,two,0.5,0,Q,0.1799,0.779,0.8547,0.3112
A0340Q,A03,4,2,two,0.5,0,Q,0.1156,0.6287,0.7326,0.2904
A0350Q,A03,5,2,two,0.5,0,Q,0.1062,0.7572,0.8679,0.3478
A0360Q,A03,6,2,two,0.5,0,Q,0.0928,0.5435,0.6219,0.2362
A0370Q,A03,7,2,two,0.5,0,Q,0.0988,0.5959,0.6951,0.2775
A0380Q,A03,8,2,two,0.5,0,Q,0.118,0.5454,0.6374,0.2712
A0390Q,A03,9,2,two,0.5,0,Q,0.113,0.5876,0.6731,0.256
A03100Q,A03,10,2,two,0.5,0,Q,0.0889,0.6248,0.7389,0.3093
A03110Q,A03,11,2,two,0.5,0,Q,0.0832,0.5533,0.6342,0.2487
A03120Q,A03,12,2,two,0.5,0,Q,0.1657,0.7512,0.8668,0.3123
A0410M,A04,1,2,two,0.5,0,M,0.1373,0.3925,0.5089,0.3369
A0420M,A04,2,2,two,0.5,0,M,0.1394,0.3877,0.5149,0.3334
A0430M,A04,3,2,two,0.5,0,M,0.2301,0.5479,0.7282,0.2668
A0440M,A04,4,2,two,0.5,0,M,0.2651,0.583,0.7721,0.2577
A0450M,A04,5,2,two,0.5,0,M,0.2669,0.6453,0.8381,0.288
A0460M,A04,6,2,two,0.5,0,M,0.0264,0.1855,0.2157,0.1378
A0470M,A04,7,2,two,0.5,0,M,0.2184,0.5578,0.7352,0.335
A0480M,A04,8,2,two,0.5,0,M,0.2956,0.6858,0.8907,0.3214
A0490M,A04,9,2,two,0.5,0,M,0.245,0.5631,0.7595,0.2401
A04100M,A04,10,2,two,0.5,0,M,0.2353,0.5723,0.7811,0.29
A04110M,A04,11,2,two,0.5,0,M,0.0688,0.273,0.3313,0.2625
A04120M,A04,12,2,one,0.5,0,M,0.0537,0.2512,0.2944,0.3404
A0810M,A08,1,2,two,0.5,0,M,0.1928,0.4506,0.6279,0.5364
A0820M,A08,2,2,two,0.5,0,M,0.1801,0.4204,0.5532,0.3686
A0830M,A08,3,2,two,0.5,0,M,0.1609,0.3702,0.4249,0.3802
A0840M,A08,4,2,two,0.5,0,M,0.2153,0.4919,0.7087,0.4025
A0850M,A08,5,2,two,0.5,0,M,0.0647,0.2154,0.1876,0.4315
A0860M,A08,6,2,two,0.5,0,M,0.2971,0.6591,0.9388,0.6289
A0870M,A08,7,2,two,0.5,0,M,0.1138,0.3103,0.3376,0.2753
A0880M,A08,8,2,one,0.5,0,M,0.211,0.4959,0.7152,0.5362
A0890M,A08,9,2,two,0.5,0,M,0.1821,0.4118,0.5043,0.3618
A08100M,A08,10,2,two,0.5,0,M,0.1963,0.5177,0.6856,0.4323
A08110M,A08,11,2,two,0.5,0,M,0.2069,0.4555,0.5936,0.4542
A08120M,A08,12,2,two,0.5,0,M,0.0199,0.138,0.0917,0.2066
A0375M,A03,7,1,two,0.5,5,M,0.8653,1.1524,1.1724,0.6356
A0325Q,A03,2,1,two,0.5,5,Q,0.5509,0.9504,0.9943,0.455
A0335Q,A03,3,1,two,0.5,5,Q,0.2981,0.7432,0.7787,0.3509
A0365Q,A03,6,1,two,0.5,5,Q,0.4087,0.5685,0.5841,0.4189
A0375Q,A03,7,1,two,0.5,5,Q,0.3677,0.6761,0.7134,0.3966
A0385Q,A03,8,1,two,0.5,5,Q,0.3209,0.4447,0.5722,0.5337
A0395Q,A03,9,1,two,0.5,5,Q,0.3217,0.7754,0.8591,0.4332
A03115Q,A03,11,1,two,0.5,5,Q,0.1237,0.2353,0.348,0.6037
A0425M,A04,2,1,two,0.5,5,M,0.9357,1.3016,1.3279,0.8894
A0435M,A04,3,1,one,0.5,5,M,0.6898,1.0682,1.1961,0.7051
A0455M,A04,5,1,one,0.5,5,M,0.4863,0.7366,0.882,0.4373
A0465M,A04,6,1,two,0.5,5,M,0.5457,0.7972,0.8882,0.444
A0475M,A04,7,1,two,0.5,5,M,0.4674,0.6123,0.6684,0.4915
A0485M,A04,8,1,two,0.5,5,M,0.2914,0.4585,0.5902,0.4033
A04105M,A04,10,1,two,0.5,5,M,0.6035,0.8841,0.9477,0.4945
A08105M,A08,10,1,one,0.5,5,M,0.8964,1.2699,1.2184,0.7799
A0375M,A03,7,2,two,0.5,5,M,0.867,1.1662,1.1293,0.5977
A0325Q,A03,2,2,two,0.5,5,Q,0.4611,0.9708,0.9002,0.4523
A0335Q,A03,3,2,two,0.5,5,Q,0.2779,0.4939,0.5198,0.3515
A0365Q,A03,6,2,two,0.5,5,Q,0.3837,0.533,0.5759,0.4141
A0375Q,A03,7,2,two,0.5,5,Q,0.3425,0.6066,0.6476,0.4546
A0385Q,A03,8,2,two,0.5,5,Q,0.2893,0.3567,0.4979,0.508
A0395Q,A03,9,2,two,0.5,5,Q,0.2449,0.6058,0.7362,0.3981
A03115Q,A03,11,2,two,0.5,5,Q,0.1336,0.2078,0.4055,0.6732
A0425M,A04,2,2,two,0.5,5,M,0.8936,1.2906,1.1867,0.8657
A0435M,A04,3,2,two,0.5,5,M,0.6676,1.117,1.1066,0.6704
A0455M,A04,5,2,two,0.5,5,M,0.492,0.7762,0.8791,0.423
A0465M,A04,6,2,two,0.5,5,M,0.5322,0.7873,0.8289,0.43
A0475M,A04,7,2,two,0.5,5,M,0.4808,0.6418,0.6763,0.4356
A0485M,A04,8,2,two,0.5,5,M,0.2702,0.4029,0.5394,0.3962
A04105M,A04,10,2,two,0.5,5,M,0.5883,0.9149,0.9101,0.4914
A08105M,A08,10,2,two,0.5,5,M,0.8323,1.2036,1.0815,0.7103
