,G1_mean,G2_mean,G2_CV,G1_CV
M_t0_A3_1_Data Source - 1.fcs,173271,353638,6.34,8.64
M_t0_A3_4_Data Source - 1.fcs,176466,356677,6.34,6.42
M_t0_A3_7_Data Source - 1.fcs,184101,370219,6.67,6.66
M_t0_A3_12_Data Source - 1.fcs,188010,381232,7.07,5.62
M_t0_A4_2_Data Source - 1.fcs,186188,376299,7.26,7
M_t0_A4_5_Data Source - 1.fcs,182429,372860,8.17,11.6
M_t0_A4_8_Data Source - 1.fcs,183722,373711,8.23,9.94
M_t0_A4_11_Data Source - 1.fcs,178332,373804,8.12,13.9
M_t0_A8_1_Data Source - 1.fcs,164524,340137,7.68,9.32
M_t0_A8_4_Data Source - 1.fcs,165669,345352,7.83,9.88
M_t0_A8_7_Data Source - 1.fcs,167379,349560,8.06,11.4
M_t0_A8_10_Data Source - 1.fcs,167053,346424,8.42,12.5
M_t0_A10_2_Data Source - 1.fcs,180936,367677,7.94,8.07
M_t0_A10_5_Data Source - 1.fcs,181720,372524,8.34,8.82
M_t0_A10_8_Data Source - 1.fcs,180197,371544,8.59,11
M_t0_A10_11_Data Source - 1.fcs,176140,382406,9.09,18.4
M_t0_A12_1_Data Source - 1.fcs,181711,371128,7.55,7.64
M_t0_A12_3_Data Source - 1.fcs,176405,364185,8.19,8.43
M_t0_A12_9_Data Source - 1.fcs,172165,354489,9.81,11.7
M_t0_A12_12_Data Source - 1.fcs,173783,359425,10.5,14.2
M_t0_A17_4_Data Source - 1.fcs,175301,362041,6.68,11.5
M_t0_A17_6_Data Source - 1.fcs,165624,351438,7.07,15.5
M_t0_A17_8_Data Source - 1.fcs,177479,366988,10.4,13.1
M_t0_A17_11_Data Source - 1.fcs,149551,345875,6.42,43.6
M_t0_A18_1_Data Source - 1.fcs,166960,344026,7.47,10.8
M_t0_A18_3_Data Source - 1.fcs,167900,343971,8.36,11.9
M_t0_A18_10_Data Source - 1.fcs,163490,351533,8.71,17.8
M_t0_A18_12_Data Source - 1.fcs,165941,358248,7.73,18.3
M_t5_A3_7_Data Source - 1.fcs,269632,5.31E+05,10.4,10.5
M_t5_A3_12_Data Source - 1.fcs,1.21E+07,4.06E+05,14.7,0
M_t5_A4_2_Data Source - 1.fcs,243366,5.01E+05,5.61,9.15
M_t5_A4_3_Data Source - 1.fcs,201327,4.11E+05,7.92,8.87
M_t5_A4_5_Data Source - 1.fcs,214216,4.65E+05,9.21,7.37
M_t5_A4_6_Data Source - 1.fcs,207509,4.23E+05,8.59,11.2
M_t5_A4_7_Data Source - 1.fcs,230070,4.69E+05,7.54,9.93
M_t5_A4_8_Data Source - 1.fcs,201893,397882,8.33,9.84
M_t5_A4_9_Data Source - 1.fcs,218454,4.41E+05,7.18,8.75
M_t5_A4_10_Data Source - 1.fcs,200952,4.14E+05,7.22,7.95
M_t5_A8_7_Data Source - 1.fcs,209379,4.17E+05,8.41,6.38
M_t5_A8_10_Data Source - 1.fcs,203170,4.31E+05,10.4,5.94
M_t5_A10_1_Data Source - 1.fcs,186552,384961,8.21,11.2
M_t5_A10_2_Data Source - 1.fcs,197877,4.08E+05,9.02,16.3
M_t5_A10_3_Data Source - 1.fcs,183769,389811,8.75,13.8
M_t5_A10_4_Data Source - 1.fcs,191287,397812,8.91,11.7
M_t5_A10_5_Data Source - 1.fcs,193672,397883,9.56,9.48
M_t5_A10_6_Data Source - 1.fcs,192192,398174,8.02,9.76
M_t5_A10_8_Data Source - 1.fcs,188892,394316,9.49,8.34
M_t5_A10_9_Data Source - 1.fcs,187230,383005,10.9,8.67
M_t5_A10_10_Data Source - 1.fcs,188589,388087,9.53,8.22
M_t5_A10_11_Data Source - 1.fcs,184046,379569,9.25,9.61
M_t5_A10_12_Data Source - 1.fcs,185838,381215,8.93,9.08
M_t5_A12_1_Data Source - 1.fcs,179372,371771,9.8,12.5
M_t5_A12_2_Data Source - 1.fcs,178340,371075,10,11.4
M_t5_A12_3_Data Source - 1.fcs,180348,374576,10.8,11.2
M_t5_A12_4_Data Source - 1.fcs,184350,380358,10.7,12.1
M_t5_A12_5_Data Source - 1.fcs,176166,367479,8.47,9.53
M_t5_A12_7_Data Source - 1.fcs,178255,368670,9.19,10.9
M_t5_A12_8_Data Source - 1.fcs,177896,370546,8.77,8.51
M_t5_A12_9_Data Source - 1.fcs,175366,367247,8.53,9.21
M_t5_A12_10_Data Source - 1.fcs,174940,361907,8.79,9.32
M_t5_A12_11_Data Source - 1.fcs,177113,365698,9.21,9.88
M_t5_A12_12_Data Source - 1.fcs,177014,372120,9.49,7.67
M_t5_A17_3_Data Source - 1.fcs,220368,4.56E+05,10.2,10.5
M_t5_A17_4_Data Source - 1.fcs,209172,4.39E+05,9.43,13.6
M_t5_A17_5_Data Source - 1.fcs,195413,4.09E+05,8.4,13.4
M_t5_A17_6_Data Source - 1.fcs,196569,4.25E+05,11.7,10.5
M_t5_A17_7_Data Source - 1.fcs,198375,391981,6.91,8.98
M_t5_A17_8_Data Source - 1.fcs,187557,369456,10.8,13.6
M_t5_A17_9_Data Source - 1.fcs,210637,4.35E+05,10.5,13.1
M_t5_A17_10_Data Source - 1.fcs,194079,4.03E+05,10.1,9.17
M_t5_A17_11_Data Source - 1.fcs,170348,370845,8.19,15
M_t5_A18_1_Data Source - 1.fcs,168448,345021,8.98,11.5
M_t5_A18_2_Data Source - 1.fcs,170684,349266,8.43,12.3
M_t5_A18_3_Data Source - 1.fcs,170534,349821,7.95,10.6
M_t5_A18_4_Data Source - 1.fcs,226497,4.64E+05,7.98,8.46
M_t5_A18_5_Data Source - 1.fcs,217889,4.46E+05,9.31,9.85
M_t5_A18_6_Data Source - 1.fcs,166869,349370,9.52,15.4
M_t5_A18_7_Data Source - 1.fcs,166897,337904,7.87,9.76
M_t5_A18_9_Data Source - 1.fcs,165827,338187,7.01,8.8
M_t5_A18_10_Data Source - 1.fcs,168615,343347,8.34,8.65
M_t5_A18_11_Data Source - 1.fcs,169633,344730,8.6,9.51
M_t5_A18_12_Data Source - 1.fcs,170840,349235,7.63,9.04
Q_t0_A2_3_Data Source - 1.fcs,206509,4.10E+05,6.06,7.14
Q_t0_A2_6_Data Source - 1.fcs,194337,389040,7.07,8.03
Q_t0_A2_9_Data Source - 1.fcs,201746,4.08E+05,5.24,6.74
Q_t0_A2_12_Data Source - 1.fcs,199709,395684,6.6,6.96
Q_t0_A3_2_Data Source - 1.fcs,184478,371478,7.25,7.77
Q_t0_A3_4_Data Source - 1.fcs,182997,369256,6.58,7.51
Q_t0_A3_7_Data Source - 1.fcs,181425,365695,7,8.45
Q_t0_A3_11_Data Source - 1.fcs,184157,371484,6.45,7.61
Q_t0_A17_2_Data Source - 1.fcs,177623,367363,7.52,12.6
Q_t0_A17_9_Data Source - 1.fcs,181127,365862,7.98,8.85
Q_t0_A17_10_Data Source - 1.fcs,184786,375428,8.01,9.25
Q_t0_A17_11_Data Source - 1.fcs,181577,369994,8.57,8.9
Q_t5_A2_6_Data Source - 1.fcs,225881,4.34E+05,8.07,6.45
Q_t5_A3_2_Data Source - 1.fcs,241934,4.78E+05,6.27,6.07
Q_t5_A3_3_Data Source - 1.fcs,195066,393203,6.58,6.55
Q_t5_A3_6_Data Source - 1.fcs,270425,5.29E+05,11.6,9.85
Q_t5_A3_7_Data Source - 1.fcs,215542,4.38E+05,9.86,7.33
Q_t5_A3_8_Data Source - 1.fcs,245628,4.86E+05,6.57,6.03
Q_t5_A3_9_Data Source - 1.fcs,246815,4.89E+05,6.46,7.1
Q_t5_A3_11_Data Source - 1 - (1).fcs,214729,4.23E+05,6.01,5.5
Q_t5_A3_11_Data Source - 1.fcs,188335,374872,5.84,6.37
Q_t5_A17_2_Data Source - 1.fcs,218487,4.31E+05,6.26,6.09
Q_t5_A17_9_Data Source - 1.fcs,231380,4.61E+05,6.48,7.26
Q_t5_A17_10_Data Source - 1.fcs,221771,4.38E+05,6.38,5.37